,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Rom,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Energimerking,Kommunale avg.,Tomteareal,Renovert år,Tomt,Bruttoareal,Grunnflate,Boligselgerforsikring,Pris med fellesgjeld,Festeavgift
0,https://www.finn.no/realestate/homes/ad.html?finnkode=190878906,"Ny 4-roms leilighet i 1 etasje, rett ved Brumunddal sentrum. Hei, parkeringskjeller, kjøkken med hvitevarer.","Kirkevegen 56 C, lnr 1010, 2382 Brumunddal",1580000,Leilighet,Andel,3,76 m²,81.0,1,2020,4,2 370 000 kr,8 060 kr,3958060.0,6 380 kr,,,,,,,,,,
1,https://www.finn.no/realestate/homes/ad.html?finnkode=205307981,"Enebolig med alle boligrom på en flate og uinnredet kjeller. Inneholder bl.a. 3 soverom, vaskerom, kontor og vinterhage","Ole Bogers veg 6, 2214 Kongsvinger",3150000,Enebolig,Eier (Selveier),3,109 m²,239.0,,1972,5,,80 092 kr,3230092.0,,F -gul,16 621 kr per år,,,,,,,,
2,https://www.finn.no/realestate/homes/ad.html?finnkode=205202357,Nyoppført og lekker halvpart av tomannsbolig - Fin utsikt og gode solforhold - Carport - Flislagt bad - Sigdal kjøkken.,"Jemlivegen 17B, 2386 Brumunddal",2490000,Tomannsbolig,Eier (Selveier),2,100 m²,100.0,,2020,,,21 892 kr,2511892.0,,C -rød,,930 m² (eiet),,,,,,,
3,https://www.finn.no/realestate/homes/ad.html?finnkode=205053708,Pen og velholdt enebolig med alt på en flate -  4 soverom - Garasje - Solrik terrasse,"Stensbakkvegen 43, 2320 Furnes",3600000,Enebolig,Eier (Selveier),4,147 m²,151.0,,2014,6,,91 372 kr,3691372.0,,G -gul,24 931 kr per år,,,,,,,,
4,https://www.finn.no/realestate/homes/ad.html?finnkode=205294037,Innholdsrikt endrekkehus med barnevennlig beliggenhet.,"Gråspurvvegen 18, 2209 Kongsvinger",1400000,Rekkehus,Andel,3,122 m²,141.0,3,1974,5,187 185 kr,1 132 kr,1588317.0,4 500 kr,,,,,,,,,,
5,https://www.finn.no/realestate/homes/ad.html?finnkode=205282152,"VISN MAN 01/02 kl 16-17 - Moderne og innholdsrik familiebolig med 4 soverom, 2 bad og fine uteområder!","Folldalsvegen 6582, 2560 Alvdal",3290000,Enebolig,Eier (Selveier),4,214 m²,250.0,,1959,,,97 892 kr,3387892.0,,G -oransje,9 825 kr per år,1931 m² (eiet),,,,,,,
6,https://www.finn.no/realestate/homes/ad.html?finnkode=205190017,"Landlig beliggende enebolig, oppgradert senere år.","Gubberudvegen 98, 2312 Ottestad",2300000,Enebolig,Eier (Selveier),3,79 m²,154.0,,1958,4,,73 142 kr,2373142.0,,G -gul,,,,,,,,,
7,https://www.finn.no/realestate/homes/ad.html?finnkode=205189309,Attraktiv to-roms byleilighet med høy standard midt i sentrum!,"Eivind Torps veg 2, H0511 (B510), 2406 Elverum",3290000,Leilighet,Eier (Selveier),1,48 m²,69.0,5,2019,,,93 792 kr,3383792.0,2 022 kr,C -mørkegrønn,5 726 kr per år,,,,,,,,
8,https://www.finn.no/realestate/homes/ad.html?finnkode=171781964,Lekker og moderne selveierleilighet med gangavstand til alle byens fasiliteter. Sovealkove med skyvedører.,"Øvre Torvgate 11A, 2821 Gjøvik",2500000,Leilighet,Eier (Selveier),1,49 m²,49.0,1,1983,,,74 042 kr,2574042.0,2 346 kr,B -rød,2 125 kr per år,,,,,,,,
9,https://www.finn.no/realestate/homes/ad.html?finnkode=205188830,HAMAR VEST - 4-roms leilighet i 2. etasje. Sørvendt balkong med fine solforhold. God standard.,"E.J.Berghs veg 25A, 2316 Hamar",2600000,Leilighet,Andel,3,86 m²,86.0,2,1969,,308 000 kr,8 010 kr,2916010.0,5 448 kr,D -mørkegrønn,,,,,,,,,
10,https://www.finn.no/realestate/homes/ad.html?finnkode=205194653,"Tiltalende enderekkehus med romslig hage og barnevennlig beliggenhet - 3 soverom, 2 stuer, lekkert bad og vaskerom.","Gråspurvvegen 68, 2209 Kongsvinger",2100000,Rekkehus,Andel,3,140 m²,143.0,,1975,4,310 518 kr,1 132 kr,2411650.0,5 250 kr,,,14285 m² (eiet),,,,,,,
11,https://www.finn.no/realestate/homes/ad.html?finnkode=202674874,HAMAR SENTRUM - Koselig 2-roms leilighet. Balkong med Mjøsutsikt. Felles takterrasse og egen parkeringsplass.,"Storhamargata 34, 2317 Hamar",1985000,Leilighet,Andel,1,51 m²,51.0,3,1938,,326 000 kr,8 010 kr,2319010.0,5 288 kr,E -mørkegrønn,,,,,,,,,
12,https://www.finn.no/realestate/homes/ad.html?finnkode=190793342,NY PRIS! Koselig enebolig i landlige omgivelser med solrik tomt. Renovert tidlig på 2000-tallet.,"TREVASSVEGEN 1268, 2840 Reinsvoll",1390000,Enebolig,Eier (Selveier),2,108 m²,114.0,2,1930,,,36 092 kr,1426092.0,,G -oransje,,,,,,,,,
