,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Tomteareal,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Energimerking,Rom,Kommunale avg.,Pris med fellesgjeld,Grunnflate,Tomt,Bruttoareal,Utleiedel,Solgtpris,Boligselgerforsikring,Renovert år
0,https://www.finn.no/realestate/homes/ad.html?finnkode=204303360,"SOLGT VISNING AVLYST || Rålekker 2-roms sentralt på Frogner med solid takhøyde (3m), store vindusflater og god standard.","Erling Skjalgssons gate 1B, 0267 Oslo",5300000,Leilighet,Aksje,1,60 m²,66.0,2,1901,905 m² (eiet),210 000 kr,19 520 kr,5529520.0,4 749 kr,,,,,,,,,,,
1,https://www.finn.no/realestate/homes/ad.html?finnkode=205039408,Romslig & lys 3-roms med stort potensial: skap deres eget drømmehjem! Attraktiv beliggenhet - Ingen dok.avgift,"Osterhaus` gate 21D, 0183 Oslo",2680000,Leilighet,Andel,2,50 m²,50.0,,1876,,1 216 921 kr,8 032 kr,3904953.0,8 685 kr,F -rød,3,,,,,,,,,
2,https://www.finn.no/realestate/homes/ad.html?finnkode=204038541,Delikat gjennomgående 3-roms m/solrik vestvendt balkong. Bad fra 2010/11. Kjøkken fra 2014. V.V. og fyring inkl.,"Libakkfaret 9 B, 1184 Oslo",3700000,Leilighet,Eier (Selveier),2,67 m²,67.0,3,1955,,248 361 kr,100 051 kr,4048412.0,3 940 kr,F -mørkegrønn,,,,,,,,,,
3,https://www.finn.no/realestate/homes/ad.html?finnkode=204627797,"Lekker, gjennomgående 2-roms med balkong og garasjeplass | Mulighet for 2 soverom | IN-ordning | Ingen forkjøpsrett","Skullerudskogen 17D, 1188 Oslo",2800000,Leilighet,Andel,1,62 m²,62.0,4,2006,,1 014 000 kr,1 032 kr,3815032.0,11 144 kr,D -rød,,,,,,,,,,
4,https://www.finn.no/realestate/homes/ad.html?finnkode=204893047,"Pen, innholdsrik enebolig med hybel, flotte uteareal, integrert garasje og uthus. Meget barnevennlig i stille stikkvei","Øvre Prinsdals vei 37G, 1266 Oslo",8500000,Enebolig,Eier (Selveier),4,261 m²,305.0,,1974,1113 m² (eiet),,228 170 kr,8728170.0,,F -oransje,,20 846 kr per år,,,,,,,,
5,https://www.finn.no/realestate/homes/ad.html?finnkode=204694085,Strøken og moderne 4-roms leilighet fra 2019 - Heis - Solrik balkong på 8 kvm m/flott utsikt - Attraktiv beliggenhet.,"Lørenveien 54B, 0585 Oslo",6990000,Leilighet,Andel,3,86 m²,89.0,6,2019,,,15 526 kr,7005526.0,4 098 kr,C -mørkegrønn,,,,,,,,,,
6,https://www.finn.no/realestate/homes/ad.html?finnkode=203487762,"Pen og innholdsrik 5-roms i 1. etg, trappefri adkomst. To terrasser. Varmtvann og tv/bredbånd inkl. Parkering.","Vestre Haugen 24, 1054 Oslo",3500000,Leilighet,Andel,4,98 m²,98.0,1,1975,,439 000 kr,8 626 kr,3947626.0,6 055 kr,E -rød,,,,,,,,,,
7,https://www.finn.no/realestate/homes/ad.html?finnkode=203828009,"Mortensrud - solrik 3-roms i 8.etasje med sydvendt balkong på 13 kvm. Heis, garasje og gasspeis.","Helga Vaneks vei 3F, 1281 Oslo",4350000,Leilighet,Eier (Selveier),2,73 m²,77.0,8,2015,,,117 527 kr,4467527.0,3 943 kr,B -mørkegrønn,,,,,,,,,,
8,https://www.finn.no/realestate/homes/ad.html?finnkode=204214395,"Stemningsfull 3-roms med 14 m2 solrik balkong. Fantastisk utsikt. Garasje. Heis. Internett/tv, varmtvann og fyring inkl!","Turbinveien 6, 0195 Oslo",4250000,Leilighet,Andel,2,76 m²,79.0,7,2012,,2 150 000 kr,15 554 kr,6415554.0,9 763 kr,D -mørkegrønn,,,,,,,,,,
9,https://www.finn.no/realestate/homes/ad.html?finnkode=204121633,Lys og lekker 2-roms med stor og solrik balkong. God standard. Heis. Sentralt. Flytt rett inn!,"Vitaminveien 2, 0484 Oslo",4100000,Leilighet,Andel,1,52 m²,52.0,2,1972,,70 220 kr,15 459 kr,4185679.0,3 063 kr,E -rød,,,,,,,,,,
