,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Tomt,Tomteareal,Kommunale avg.,Bruttoareal,Rom,Renovert år,Boligselgerforsikring,Pris med fellesgjeld,Grunnflate,Festeavgift,Utleiedel
0,https://www.finn.no/realestate/homes/ad.html?finnkode=183141171,Meget fin og velholdt 3-roms leilighet - Vestvendt - Solrikt - Utsikt - Innglasset veranda på 20 kvm - Garasjeplass,"Bratthenget 2 B, 4846 Arendal",1290000,Leilighet,Andel,2,84 m²,84.0,4,1973,F -rød,564 344 kr,7 982 kr,1862326.0,6 071 kr,,,,,,,,,,,
1,https://www.finn.no/realestate/homes/ad.html?finnkode=180457903,"Søgne/Høllen - Unik modernisert bolig, utleie, panoramautsikt. Mulighet for stor tilleggstomt.","Skarveien 14, 4640 Søgne",5990000,Enebolig,Eier (Selveier),4,208 m²,208.0,,1950,G -gul,,161 392 kr,6151392.0,,Eiet,,,,,,,,,,
2,https://www.finn.no/realestate/homes/ad.html?finnkode=155607140,Enrum - meget pen enebolig - betydelig renovert og ombygget - attraktiv og solrik beliggenhet - en sjelden mulighet,"Ravnedalsveien 22, 4616 Kristiansand S",7500000,Enebolig,Eier (Selveier),3,174 m²,174.0,,1921,G -oransje,,203 142 kr,7703142.0,,,441 m² (eiet),14 038 kr per år,,,,,,,,
3,https://www.finn.no/realestate/homes/ad.html?finnkode=185662159,Vollene Seniorsenter - 2- roms leilighet - 2. etg. med heis - Vestvendt og solrik beliggenhet - Veranda - Carport,"Vollenetoppen 8, 4842 Arendal",1550000,Leilighet,Andel,1,48 m²,48.0,2,2009,C -rød,,7 982 kr,1557982.0,3 831 kr,,,,,,,,,,,
4,https://www.finn.no/realestate/homes/ad.html?finnkode=205600249,Eg - Sentrumsnært og nær Baneheia - Lys og pent oppusset 2-roms leilighet i 1.etg. med balkong,"Egshaugen 7, 4615 Kristiansand S",1525000,Leilighet,Andel,1,50 m²,50.0,1,1977,F -rød,134 308 kr,8 032 kr,1667340.0,3 028 kr,,,,,,,,,,,
5,https://www.finn.no/realestate/homes/ad.html?finnkode=205834007,Tinnheia- Lys og delikat 3-roms andelsleilighet - Innglasset vestvendt balkong med nydelig utsikt. Sentrumsnært!,"Peer Gyntveien 7, 4629 Kristiansand S",1950000,Leilighet,Andel,2,71 m²,83.0,7,1962,G -rød,111 148 kr,5 432 kr,2066580.0,4 174 kr,,,,,,,,,,,
6,https://www.finn.no/realestate/homes/ad.html?finnkode=205542113,"Påmeldingsvisning lør 30/1 kl. 15-15.45 - Grimstad sentrum/Skolegården - Flott hjørneleilighet m/heis, garasje, terrasse","Storgaten 50 C, 4876 Grimstad",2790000,Leilighet,Eier (Selveier),2,68 m²,70.0,4,2014,C -mørkegrønn,,,,2 629 kr,,,12 908 kr per år,,,,,,,,
7,https://www.finn.no/realestate/homes/ad.html?finnkode=205534003,NYHET - VISN ONS 3. FEB - Perfekt førstegangskjøp / utleieobjekt midt i hjertet av Kvadraturen | Arealeffektiv 2 roms,"Dronningens gate 24D, 4610 Kristiansand S",1750000,Leilighet,Eier (Selveier),1,29 m²,29.0,1,1899,,,52 192 kr,1802192.0,781 kr,,270 m² (eiet),,,,,,,,,
8,https://www.finn.no/realestate/homes/ad.html?finnkode=205535657,"Birkeland -Lettstelt og sentralt beliggende enebolig med 2 oppgraderte bad, 3 sov og garasje. VISN 28.1. PÅMELDING!","Strøget 127, 4760 Birkeland",2490000,Enebolig,Eier (Selveier),3,110 m²,117.0,,1993,,,73 892 kr,2563892.0,,,350 m² (eiet),,125 m²,,,,,,,
9,https://www.finn.no/realestate/homes/ad.html?finnkode=205385397,Enebolig på romslig utsiktstomt! Garasje i rekke | Solrike uteplasser | 4 soverom | Barnevennlig,"Alvestien 18, 4638 Kristiansand S",3890000,Enebolig,Eier (Selveier),4,159 m²,171.0,,1985,F -oransje,,98 420 kr,3988420.0,,,,14 992 kr per år,,6,,,,,,
