,url,header,location,price,Boligtype,Eieform bolig,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Rom,Tomteareal,Kommunale avg.,Bruttoareal,Tomt,Grunnflate,Renovert år,Boligselgerforsikring,Pris med fellesgjeld,Utleiedel
0,https://www.finn.no/realestate/homes/ad.html?finnkode=204193722,"Lys og usjenert 2(3)-roms andel med innglasset balkong, ingen gjenboere, kjøkken fra 2017 og heis. Varmtvann inkl!","Granstangen 16B, 1051 Oslo",2500000,Leilighet,Andel,1,55 m²,61.0,4,1977,C -rød,276 000 kr,8 626 kr,2784626.0,4 123 kr,,,,,,,,,,
1,https://www.finn.no/realestate/homes/ad.html?finnkode=191232017,Tomannsbolig med skjermet og rolig beliggenhet. Hage og balkong med nydelig utsikt. Moderniseringsbehov.,"Bjørnstadbakken 3, 0672 Oslo",7500000,Tomannsbolig,Eier (Selveier),2,110 m²,119.0,,1961,,,188 842 kr,7688842.0,,4,696 m² (festet),11 398 kr per år,,,,,,,
2,https://www.finn.no/realestate/homes/ad.html?finnkode=200343106,"Ringnes Park: Nyere, oppgradert 3-roms selveier med heis og mulig garasjeplass - Vestvendt balkong - Fyring og vv inkl","Toftes gate 21A, 0556 Oslo",5500000,Leilighet,Eier (Selveier),2,65 m²,65.0,3,2009,D -mørkegrønn,,138 842 kr,5638842.0,2 848 kr,,,,,,,,,,
3,https://www.finn.no/realestate/homes/ad.html?finnkode=204226047,Lekker og lys 2-roms med solrik balkong. Vendt inn mot rolig bakgård. Varmtvann og fyring ink. Heis. Perfekt for utleie!,"Rubina Ranas gate 10, 0190 Oslo",3700000,Leilighet,Eier (Selveier),1,41 m²,41.0,4,2007,D -mørkegrønn,,104 042 kr,3804042.0,2 292 kr,,,,,,,,,,
4,https://www.finn.no/realestate/homes/ad.html?finnkode=199225941,"Flott terrasseleil. (141 kvm) med heis, peis, terrasser og garasje. 2 nye bad og nytt kjøkken. Oppusset 2017","Åsstubben 62, 0381 Oslo",9850000,Leilighet,Eier (Selveier),3,141 m²,147.0,1,1983,G -oransje,33 000 kr,247 592 kr,10130592.0,4 968 kr,,,,,,,,,,
5,https://www.finn.no/realestate/homes/ad.html?finnkode=204483446,Lys og pen 2-roms gjennomgående leilighet v/ marka. Peis. Solrik balkong med fin utsikt. Rolig og idyllisk.,"Dugnadsveien 9, 0590 Oslo",3550000,Leilighet,Andel,1,57 m²,57.0,2,1952,F -oransje,46 343 kr,8 614 kr,3604957.0,3 137 kr,,,,,,,,,,
6,https://www.finn.no/realestate/homes/ad.html?finnkode=204430340,Rålekker 1-roms med standard fra 2018 - Fransk balkong - Rett ved Nordmarka - Perfekt førstegangskjøp/utleieobjekt!,"Folke Bernadottes vei 2, 0862 Oslo",2850000,Leilighet,Eier (Selveier),0,28 m²,28.0,2,1962,G -rød,1 763 kr,73 862 kr,2925625.0,1 540 kr,,,,,,,,,,
7,https://www.finn.no/realestate/homes/ad.html?finnkode=204084068,"Lys, stilig og gjennomført studioleilighet ved Akerselva med supersentral beliggenhet - Heis - Felles takterrasse.","Christian Krohgs gate 30, 0186 Oslo",2800000,Leilighet,Andel,,46 m²,46.0,5,1896,G -mørkegrønn,1 026 202 kr,8 060 kr,3834262.0,6 491 kr,1,,,,,,,,,
8,https://www.finn.no/realestate/homes/ad.html?finnkode=204708526,Lys og pen 2 roms selveier m/ flott intern beliggenhet! Vestvendt balkong og god planløsning. Gangavstand til BI.,"Gunnar Schjelderups vei 11S, 0485 Oslo",4100000,Leilighet,Eier (Selveier),1,45 m²,45.0,2,2006,,,114 042 kr,4214042.0,2 371 kr,,18871 m² (eiet),,,,,,,,
9,https://www.finn.no/realestate/homes/ad.html?finnkode=200554402,"Nyoppført, strøken 3-roms med sørvendt balkong og utsikt mot sjøkanten. Høy standard. Åpent for snarlig overtakelse.","Rostockgata 56, 0194 Oslo",8400000,Leilighet,Eier (Selveier),2,66 m²,71.0,3,2020,A -mørkegrønn,,211 170 kr,8611170.0,3 098 kr,,,,,,,,,,
